Shadow of a Doubt;1943;Alfred Hitchcock;A Blast of DRAMATIC Dynamite exploded right before your eyes!;8;13:00:00;14:45:00;Teresa Wright:Joseph Cotten:Macdonald Carey:Henry Travers:Patricia Collinge:Hume Cronyn;Thriller;"Er valt in het kleine, rustieke plaatsje in Californi&euml; niet veel te beleven voor de jonge Charlie Newton (Teresa Wright) en ze bedenkt zich dat ze graag zou willen dat haar lievelingsoom Charlie, met wie ze een bijzondere, haast telepathische band deelt en naar wie ze is vernoemd, weer eens komt logeren. Maar nog voordat ze bericht naar hem uit kan laten gaan, is haar oom al onderweg. Wanneer hij beladen met cadeautjes arriveert, kan Charlie haar geluk niet op, wat niet wegneemt dat haar mettertijd een aantal zaken vreemd voorkomen. Want waarom brengt haar oom een ring voor haar mee waarin de verkeerde initialen staan gegraveerd? En waarom moest de krant verscheurd? Charlie zou Charlie niet zijn als ze het erbij zou laten zitten, en ze gaat op onderzoek uit. Naarmate de puzzelstukjes op hun plaats vallen komt Charlie tot het schokkende besef dat de man die ze altijd verafgoodde niet is wat hij lijkt.";65006
Love and Other Impossible Pursuits;2009;Don Roos;Love makes everything possible.;6.4;20:30:00;22:35:00;Natalie Portman:Scott Cohen:Lisa Kudrow:Charlie Tahan:Lauren Ambrose:Michael Cristofer;Drama;Emilia Greenleaf is een jonge vrouw die net met Jack Woolf is getrouwd en bovendien zwanger. Ze verliezen dit kind echter en hun huwelijk loopt vervolgens niet echt goed meer. Ze tracht haar wankele huwelijk te redden door een betere verstandhouding aan te gaan met haar nukkige vijf-jarige stiefzoon, William.;45765
Dolores Claiborne;1995;Taylor Hackford;They were separated by a death...and reunited by a murder.;7.4;20:30:00;23:15:00;Kathy Bates:Jennifer Jason Leigh:Judy Parfitt:Christopher Plummer:David Strathairn:Eric Bogosian;Misdaad:Drama:Mystery:Thriller;Dolores Claiborne van Taylor Hackford is weer eens een film die is gebaseerd op het werk van bestsellerschrijver Stephen King. Deze film bewijst dat King meer dan alleen horrorverhalen schrijft. Dolores Claiborne gaat over de moeizame verhouding tussen een moeder en haar enige dochter. Maar King zou King niet zijn als hij niet ook een spannend moordmysterie door het verhaal geweven had. Twee topactrices, Kathy Bates en Jennifer Jason Leigh, spelen de hoofdrollen.;61172
Infiltrant;2014;Shariff Korver;;5.9;21:50:00;23:30:00;Nasrdin Dchar:Walid Benmbarek:Rachid El Ghazaoui:Simone Milsdochter:Betty Schuurman:Nadia Amin;Misdaad:Drama:Thriller;Samir is geboren in Nederland en de zoon van een Marokkaanse vader en een Nederlandse moeder. Nadat hij is geslaagd als politieagent zoekt hij erkenning van het korps. Door te infiltreren in een Marokkaanse drugsbende wil hij zichzelf bewijzen. Maar hij voelt zich al snel gevangen tussen twee werelden.;80068
Locke;2013;Steven Knight;No turning back;7.1;22:00:00;23:25:00;Tom Hardy:Olivia Colman:Ruth Wilson:Andrew Scott:Ben Daniels:Tom Holland;Drama;"Ivan Locke (Tom Hardy) heeft hard gewerkt om een goed leven voor zichzelf te hebben. Vanavond zal dat leven echter totaal uiteenvallen. Aan de vooravond van de grootste uitdaging uit zijn carri&egrave;re, krijgt hij een telefoontje dat een reeks gebeurtenissen in beweging zet die zijn familie, werk en ziel zal ontrafelen.";85762
Bel Ami;2012;Declan Donnellan:Nick Ormerod;Possessed by love. Consumed by desire.;5.4;22:35:00;00:40:00;Robert Pattinson:Uma Thurman:Kristin Scott Thomas:Christina Ricci:Colm Meaney:Philip Glenister;Drama:Historisch:Romantiek;Bel Ami vertelt het verhaal van George Duroy (Pattinson), een jonge journalist die zich in de Parijse modewereld opwerkt door het bed te delen met de meest glamoureuze en invloedrijke vrouwen. Hij wordt daarbij geholpen door de vrouw van zijn vriend, een Parisienne (Thurman) met wie hij uiteindelijk ook zal trouwen.;86976
Eisenstein in Guanajuato;2015;Peter Greenaway;;6.4;22:55:00;00:30:00;"Elmer B&auml;ck:Luis Alberti:Jos&eacute; Montini:Cristina Velasco Lozano:Rasmus Sl&auml;tis:Jakob &Ouml;hrman";Biografie:Komedie:Drama:Romantiek;De gelauwerde filmmaker Eisenstein is in talent, inzicht en wijsheid vergelijkbaar met mensen als Shakespeare en Beethoven. Er zijn maar een paar regisseurs die zulke hoogtes bereikt hebben. In deze film wordt een beeld van zijn indrukwekkende leven geschetst.;67219
Top Gun;1986;Tony Scott;Up there with the best of the best.;6.9;23:10:00;00:55:00;Tom Cruise:Kelly McGillis:Val Kilmer:Anthony Edwards:Tom Skerritt:Michael Ironside;Actie:Drama:Romantiek;Maverick wordt samen met zijn co-piloot Goose aangenomen bij Top Gun, een keiharde marineopleiding voor piloten. Hij gaat hier de concurrentie aan met een andere toppiloot, Iceman. Na een tragische gebeurtenis realiseert Maverick zich dat het leven toch keihard kan zijn en twijfelt of hij nog verder wil gaan met vliegen. Uiteindelijk moet hij toch bewijzen wie de beste piloot is.;33397
The Dukes of Hazzard;2005;Jay Chandrasekhar;All Speed, No Limit (U.K.);5.1;23:15:00;01:20:00;Johnny Knoxville:Seann William Scott:Alice Greczyn:Steve Lemme:Michael Weston:Mitch Braswell;Actie:Avontuur:Komedie;Op het eerste oog is alles rustig in Hazzard County, maar schijn bedriegt. Boss Hogg is van plan om van Hazzard een mijn te maken, maar daar willen Bo en Luke een stokje voor steken, met hulp van Cooter, Uncle Jessie en vooral de charmes van Daisy.;15716
"Les d&eacute;ferlantes";2013;Éléonore Faucher;;6.5;00:00:00;01:43:00;;;Louise is ornithologe die naar Noord-Frankrijk naar een afgelegen dorpje is gereisd om alleen te zijn - haar partner is net overleden en dus wil ze in alle rust kunnen rouwen. Maar dan kruist haar pad met een arts, een oude dame en een vuurtorenwachter.;78509
